SCORE_DATE,COMPANY_ID,SCORE,SCORE_TYPE
2023-03-10 23:28:51,ZMZWJ7TU83BT,1,Y
2023-01-05 23:28:51,ZMZWJ7TU83BT,4,X
2024-12-26 23:28:51,ZMZWJ7TU83BT,0,X
2024-07-01 23:28:51,ZMZWJ7TU83BT,0,Y
2019-02-09 23:28:51,ZMZWJ7TU83BT,2,Y
2022-01-18 23:28:51,ZMZWJ7TU83BT,0,Y
2019-09-18 23:28:51,ZMZWJ7TU83BT,3,X
2023-05-12 23:28:51,ZMZWJ7TU83BT,0,Y
2016-11-27 23:28:51,ZMZWJ7TU83BT,1,X
2016-03-12 23:28:51,ZMZWJ7TU83BT,3,X
2018-07-17 23:28:51,ZMZWJ7TU83BT,3,Y
2019-06-07 23:28:51,ZMZWJ7TU83BT,5,Y
2016-11-07 23:28:51,ZMZWJ7TU83BT,2,X
2019-10-17 23:28:51,ZMZWJ7TU83BT,1,X
2019-04-08 23:28:51,ZMZWJ7TU83BT,2,Y
2015-10-26 23:28:51,ZMZWJ7TU83BT,1,X
2019-10-22 23:28:51,ZMZWJ7TU83BT,2,X
2016-08-31 23:28:51,ZMZWJ7TU83BT,5,X
2024-11-03 23:28:51,ZMZWJ7TU83BT,0,Y
2018-06-02 23:28:51,ZMZWJ7TU83BT,2,X
2017-12-23 23:28:51,ZMZWJ7TU83BT,4,X
2023-03-12 23:28:51,ZMZWJ7TU83BT,0,Y
2020-09-22 23:28:51,IJ9CAU8V7J7C,1,X
2021-04-24 23:28:51,IJ9CAU8V7J7C,3,Y
2017-01-14 23:28:51,IJ9CAU8V7J7C,4,X
2024-08-23 23:28:51,IJ9CAU8V7J7C,5,X
2024-01-23 23:28:51,IJ9CAU8V7J7C,5,Y
2024-08-27 23:28:51,IJ9CAU8V7J7C,5,Y
2020-03-25 23:28:51,IJ9CAU8V7J7C,0,Y
2017-11-20 23:28:51,IJ9CAU8V7J7C,2,Y
2022-06-16 23:28:51,IJ9CAU8V7J7C,3,Y
2016-08-04 23:28:51,IJ9CAU8V7J7C,2,Y
2021-01-09 23:28:51,IJ9CAU8V7J7C,2,Y
2024-06-18 23:28:51,IJ9CAU8V7J7C,2,X
2017-02-02 23:28:51,IJ9CAU8V7J7C,5,Y
2023-08-15 23:28:51,IJ9CAU8V7J7C,3,Y
2015-09-08 23:28:51,IJ9CAU8V7J7C,3,X
2023-12-06 23:28:51,IJ9CAU8V7J7C,0,X
2019-06-19 23:28:51,IJ9CAU8V7J7C,0,Y
2017-11-03 23:28:51,IJ9CAU8V7J7C,3,Y
2022-10-16 23:28:51,IJ9CAU8V7J7C,5,Y
2017-10-04 23:28:51,IJ9CAU8V7J7C,3,Y
2019-01-07 23:28:51,IJ9CAU8V7J7C,1,X
2019-01-10 23:28:51,IJ9CAU8V7J7C,5,Y
2019-08-23 23:28:51,IJ9CAU8V7J7C,5,X
2022-06-12 23:28:51,IJ9CAU8V7J7C,4,X
2023-08-05 23:28:51,IJ9CAU8V7J7C,1,Y
2022-05-30 23:28:51,IJ9CAU8V7J7C,5,X
2015-04-12 23:28:51,IJ9CAU8V7J7C,4,Y
2017-03-17 23:28:51,IJ9CAU8V7J7C,2,Y
2019-04-13 23:28:51,IJ9CAU8V7J7C,5,Y
2018-01-29 23:28:51,IJ9CAU8V7J7C,3,Y
